Rank,Year,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
23,2005,Northwest,3,Edmonton Oilers,82.0,41.0,28.0,13.0,95.0,,41.0,0.0,0.0,20-15-6,21-13-7,256.0,251.0,5.0,5-4-1,W2
24,2005,Northwest,4,Vancouver Canucks,82.0,42.0,32.0,8.0,92.0,,42.0,0.0,0.0,25-10-6,17-22-2,256.0,255.0,1.0,4-4-2,W1
25,2005,Northwest,5,Minnesota Wild,82.0,38.0,36.0,8.0,84.0,,38.0,0.0,0.0,23-16-2,15-20-6,231.0,215.0,16.0,5-4-1,L2
26,2005,Pacific,1,Dallas Stars,82.0,53.0,23.0,6.0,112.0,,53.0,0.0,0.0,28-11-2,25-12-4,265.0,218.0,47.0,4-3-3,L2
27,2005,Pacific,2,San Jose Sharks,82.0,44.0,27.0,11.0,99.0,,44.0,0.0,0.0,25-9-7,19-18-4,266.0,242.0,24.0,8-1-1,L1
28,2005,Pacific,3,Anaheim Ducks,82.0,43.0,27.0,12.0,98.0,,43.0,0.0,0.0,26-10-5,17-17-7,254.0,229.0,25.0,6-4-0,W1
29,2005,Pacific,4,Los Angeles Kings,82.0,42.0,35.0,5.0,89.0,,42.0,0.0,0.0,26-14-1,16-21-4,249.0,270.0,-21.0,4-6-0,W2
30,2005,Pacific,5,Phoenix Coyotes,82.0,38.0,39.0,5.0,81.0,,38.0,0.0,0.0,19-18-4,19-21-1,246.0,271.0,-25.0,4-5-1,W1
1,2003,Atlantic,1,Philadelphia Flyers,82.0,40.0,21.0,6.0,101.0,,,0.0,0.0,24-11-3,16-10-3,229.0,186.0,43.0,4-4-0,L1
2,2003,Atlantic,2,New Jersey Devils,82.0,43.0,25.0,2.0,100.0,,,0.0,0.0,22-13-1,21-12-1,213.0,164.0,49.0,6-3-0,L1
3,2003,Atlantic,3,New York Islanders,82.0,38.0,29.0,4.0,91.0,,,0.0,0.0,25-11-1,13-18-3,237.0,210.0,27.0,6-3-0,L1
4,2003,Atlantic,4,New York Rangers,82.0,27.0,40.0,8.0,69.0,,,0.0,0.0,13-21-4,14-19-4,206.0,250.0,-44.0,2-6-2,W1
5,2003,Atlantic,5,Pittsburgh Penguins,82.0,23.0,47.0,4.0,58.0,,,0.0,0.0,13-22-0,10-25-4,190.0,303.0,-113.0,6-3-0,W2
6,2003,Northeast,1,Boston Bruins,82.0,41.0,19.0,7.0,104.0,,,0.0,0.0,18-12-2,23-7-5,209.0,188.0,21.0,6-3-0,W1
7,2003,Northeast,2,Toronto Maple Leafs,82.0,45.0,24.0,3.0,103.0,,,0.0,0.0,22-14-2,23-10-1,242.0,204.0,38.0,7-2-0,W3
8,2003,Northeast,3,Ottawa Senators,82.0,43.0,23.0,6.0,102.0,,,0.0,0.0,23-8-5,20-15-1,262.0,189.0,73.0,5-3-1,L1
9,2003,Northeast,4,Montreal Canadiens,82.0,41.0,30.0,4.0,93.0,,,0.0,0.0,23-13-1,18-17-3,208.0,192.0,16.0,4-4-1,W1
10,2003,Northeast,5,Buffalo Sabres,82.0,37.0,34.0,4.0,85.0,,,0.0,0.0,21-13-3,16-21-1,220.0,221.0,-1.0,6-3-0,L2
11,2003,Southeast,1,Tampa Bay Lightning,82.0,46.0,22.0,6.0,106.0,,,0.0,0.0,24-10-3,22-12-3,245.0,192.0,53.0,5-4-1,L1
12,2003,Southeast,2,Atlanta Thrashers,82.0,33.0,37.0,4.0,78.0,,,0.0,0.0,18-17-2,15-20-2,214.0,243.0,-29.0,5-3-1,W1
13,2003,Southeast,3,Carolina Hurricanes,82.0,28.0,34.0,6.0,76.0,,,0.0,0.0,13-18-2,15-16-4,172.0,209.0,-37.0,4-4-1,L1
14,2003,Southeast,4,Florida Panthers,82.0,28.0,35.0,4.0,75.0,,,0.0,0.0,16-15-3,12-20-1,188.0,221.0,-33.0,2-6-1,L1
15,2003,Southeast,5,Washington Capitals,82.0,23.0,46.0,3.0,59.0,,,0.0,0.0,13-20-2,10-26-1,186.0,253.0,-67.0,2-5-1,L2
16,2003,Central,1,Detroit Red Wings,82.0,48.0,21.0,2.0,109.0,,,0.0,0.0,30-7-0,18-14-2,255.0,189.0,66.0,6-3-0,L1
17,2003,Central,2,St. Louis Blues,82.0,39.0,30.0,2.0,91.0,,,0.0,0.0,23-11-0,16-19-2,191.0,198.0,-7.0,6-3-0,L1
18,2003,Central,3,Nashville Predators,82.0,38.0,29.0,4.0,91.0,,,0.0,0.0,22-10-2,16-19-2,216.0,217.0,-1.0,5-3-1,W1
19,2003,Central,4,Columbus Blue Jackets,82.0,25.0,45.0,4.0,62.0,,,0.0,0.0,17-18-2,8-27-2,177.0,238.0,-61.0,5-5-0,W1
20,2003,Central,5,Chicago Blackhawks,82.0,20.0,43.0,8.0,59.0,,,0.0,0.0,13-17-5,7-26-3,188.0,259.0,-71.0,1-5-2,L7
21,2003,Northwest,1,Vancouver Canucks,82.0,43.0,24.0,5.0,101.0,,,0.0,0.0,21-13-0,22-11-5,235.0,194.0,41.0,6-2-1,W6
22,2003,Northwest,2,Colorado Avalanche,82.0,40.0,22.0,7.0,100.0,,,0.0,0.0,19-14-2,21-8-5,236.0,198.0,38.0,2-5-2,L1
23,2003,Northwest,3,Calgary Flames,82.0,42.0,30.0,3.0,94.0,,,0.0,0.0,21-14-1,21-16-2,200.0,176.0,24.0,6-4-0,L1
24,2003,Northwest,4,Edmonton Oilers,82.0,36.0,29.0,5.0,89.0,,,0.0,0.0,22-12-3,14-17-2,221.0,208.0,13.0,7-2-1,L1
25,2003,Northwest,5,Minnesota Wild,82.0,30.0,29.0,3.0,83.0,,,0.0,0.0,19-13-2,11-16-1,188.0,183.0,5.0,6-3-1,W3
26,2003,Pacific,1,San Jose Sharks,82.0,43.0,21.0,6.0,104.0,,,0.0,0.0,24-8-2,19-13-4,219.0,183.0,36.0,8-2-0,W1
27,2003,Pacific,2,Dallas Stars,82.0,41.0,26.0,2.0,97.0,,,0.0,0.0,26-7-0,15-19-2,194.0,175.0,19.0,5-2-2,W1
28,2003,Pacific,3,Los Angeles Kings,82.0,28.0,29.0,9.0,81.0,,,0.0,0.0,15-16-1,13-13-8,205.0,217.0,-12.0,0-8-2,L11
29,2003,Pacific,4,Anaheim Ducks,82.0,29.0,35.0,8.0,76.0,,,0.0,0.0,19-11-4,10-24-4,184.0,213.0,-29.0,4-5-0,W1
30,2003,Pacific,5,Phoenix Coyotes,82.0,22.0,36.0,6.0,68.0,,,0.0,0.0,11-19-4,11-17-2,188.0,245.0,-57.0,2-5-1,W1
1,2002,Atlantic,1,New Jersey Devils,82.0,46.0,20.0,6.0,108.0,,,0.0,0.0,25-11-2,21-9-4,216.0,166.0,50.0,5-0-1,L1
2,2002,Atlantic,2,Philadelphia Flyers,82.0,45.0,20.0,4.0,107.0,,,0.0,0.0,21-10-2,24-10-2,211.0,166.0,45.0,7-1-0,W5
3,2002,Atlantic,3,New York Islanders,82.0,35.0,34.0,2.0,83.0,,,0.0,0.0,18-18-0,17-16-2,224.0,231.0,-7.0,3-5-0,W1
4,2002,Atlantic,4,New York Rangers,82.0,32.0,36.0,4.0,78.0,,,0.0,0.0,17-18-2,15-18-2,210.0,231.0,-21.0,4-4-1,L2
5,2002,Atlantic,5,Pittsburgh Penguins,82.0,27.0,44.0,5.0,65.0,,,0.0,0.0,15-22-2,12-22-3,189.0,255.0,-66.0,2-7-0,L1
6,2002,Northeast,1,Ottawa Senators,82.0,52.0,21.0,1.0,113.0,,,0.0,0.0,28-9-1,24-12-0,263.0,182.0,81.0,7-2-0,W4
7,2002,Northeast,2,Toronto Maple Leafs,82.0,44.0,28.0,3.0,98.0,,,0.0,0.0,24-13-0,20-15-3,236.0,208.0,28.0,5-2-1,L1
8,2002,Northeast,3,Boston Bruins,82.0,36.0,31.0,4.0,87.0,,,0.0,0.0,23-11-2,13-20-2,245.0,237.0,8.0,3-4-0,W1
9,2002,Northeast,4,Montreal Canadiens,82.0,30.0,35.0,9.0,77.0,,,0.0,0.0,16-16-4,14-19-5,206.0,234.0,-28.0,3-6-1,W1
10,2002,Northeast,5,Buffalo Sabres,82.0,27.0,37.0,8.0,72.0,,,0.0,0.0,18-16-2,9-21-6,190.0,219.0,-29.0,5-3-1,L1
11,2002,Southeast,1,Tampa Bay Lightning,82.0,36.0,25.0,5.0,93.0,,,0.0,0.0,22-9-3,14-16-2,219.0,210.0,9.0,3-2-0,L2
12,2002,Southeast,2,Washington Capitals,82.0,39.0,29.0,6.0,92.0,,,0.0,0.0,24-13-2,15-16-4,224.0,220.0,4.0,6-3-1,W1
13,2002,Southeast,3,Atlanta Thrashers,82.0,31.0,39.0,5.0,74.0,,,0.0,0.0,15-19-3,16-20-2,226.0,284.0,-58.0,6-3-0,W2
14,2002,Southeast,4,Florida Panthers,82.0,24.0,36.0,9.0,70.0,,,0.0,0.0,8-21-5,16-15-4,176.0,237.0,-61.0,2-7-0,L1
15,2002,Southeast,5,Carolina Hurricanes,82.0,22.0,43.0,6.0,61.0,,,0.0,0.0,12-17-3,10-26-3,171.0,240.0,-69.0,0-8-0,L6
16,2002,Central,1,Detroit Red Wings,82.0,48.0,20.0,4.0,110.0,,,0.0,0.0,28-6-2,20-14-2,269.0,203.0,66.0,6-2-1,L1
17,2002,Central,2,St. Louis Blues,82.0,41.0,24.0,6.0,99.0,,,0.0,0.0,23-11-3,18-13-3,253.0,222.0,31.0,3-5-0,L1
18,2002,Central,3,Chicago Blackhawks,82.0,30.0,33.0,6.0,79.0,,,0.0,0.0,17-15-2,13-18-4,207.0,226.0,-19.0,3-3-1,W1
19,2002,Central,4,Nashville Predators,82.0,27.0,35.0,7.0,74.0,,,0.0,0.0,18-17-1,9-18-6,183.0,206.0,-23.0,0-6-2,L6
20,2002,Central,5,Columbus Blue Jackets,82.0,29.0,42.0,3.0,69.0,,,0.0,0.0,20-14-2,9-28-1,213.0,263.0,-50.0,4-5-0,L1
21,2002,Northwest,1,Colorado Avalanche,82.0,42.0,19.0,8.0,105.0,,,0.0,0.0,21-9-3,21-10-5,251.0,194.0,57.0,7-1-1,W2
22,2002,Northwest,2,Vancouver Canucks,82.0,45.0,23.0,1.0,104.0,,,0.0,0.0,22-13-0,23-10-1,264.0,208.0,56.0,5-4-0,L1
23,2002,Northwest,3,Minnesota Wild,82.0,42.0,29.0,1.0,95.0,,,0.0,0.0,25-13-0,17-16-1,198.0,178.0,20.0,6-4-0,W1
24,2002,Northwest,4,Edmonton Oilers,82.0,36.0,26.0,9.0,92.0,,,0.0,0.0,20-12-4,16-14-5,231.0,230.0,1.0,5-1-1,L1
25,2002,Northwest,5,Calgary Flames,82.0,29.0,36.0,4.0,75.0,,,0.0,0.0,14-16-1,15-20-3,186.0,228.0,-42.0,5-3-0,W2
26,2002,Pacific,1,Dallas Stars,82.0,46.0,17.0,4.0,111.0,,,0.0,0.0,28-5-2,18-12-2,245.0,169.0,76.0,7-1-2,W4
27,2002,Pacific,2,Anaheim Ducks,82.0,40.0,27.0,6.0,95.0,,,0.0,0.0,22-10-2,18-17-4,203.0,193.0,10.0,5-2-2,L2
28,2002,Pacific,3,Los Angeles Kings,82.0,33.0,37.0,6.0,78.0,,,0.0,0.0,19-19-1,14-18-5,203.0,221.0,-18.0,3-4-2,W1
29,2002,Pacific,4,Phoenix Coyotes,82.0,31.0,35.0,5.0,78.0,,,0.0,0.0,17-16-2,14-19-3,204.0,230.0,-26.0,2-5-1,L1
30,2002,Pacific,5,San Jose Sharks,82.0,28.0,37.0,8.0,73.0,,,0.0,0.0,17-16-3,11-21-5,214.0,239.0,-25.0,2-4-1,L3
1,2001,Atlantic,1,Philadelphia Flyers,82.0,42.0,27.0,3.0,97.0,,,0.0,0.0,20-13-3,22-14-0,234.0,192.0,42.0,2-7-0,L1
2,2001,Atlantic,2,New York Islanders,82.0,42.0,28.0,4.0,96.0,,,0.0,0.0,21-13-2,21-15-2,239.0,220.0,19.0,7-2-0,W3
3,2001,Atlantic,3,New Jersey Devils,82.0,41.0,28.0,4.0,95.0,,,0.0,0.0,22-13-2,19-15-2,205.0,187.0,18.0,8-2-0,W6
4,2001,Atlantic,4,New York Rangers,82.0,36.0,38.0,4.0,80.0,,,0.0,0.0,19-19-1,17-19-3,227.0,258.0,-31.0,5-5-0,L2
5,2001,Atlantic,5,Pittsburgh Penguins,82.0,28.0,41.0,5.0,69.0,,,0.0,0.0,16-20-1,12-21-4,198.0,249.0,-51.0,0-8-1,L2
6,2001,Northeast,1,Boston Bruins,82.0,43.0,24.0,9.0,101.0,,,0.0,0.0,23-11-5,20-13-4,236.0,201.0,35.0,4-3-2,W1
7,2001,Northeast,2,Toronto Maple Leafs,82.0,43.0,25.0,4.0,100.0,,,0.0,0.0,24-11-0,19-14-4,249.0,207.0,42.0,6-3-0,W4
8,2001,Northeast,3,Ottawa Senators,82.0,39.0,27.0,7.0,94.0,,,0.0,0.0,21-13-4,18-14-3,243.0,208.0,35.0,4-4-1,L1
9,2001,Northeast,4,Montreal Canadiens,82.0,36.0,31.0,3.0,87.0,,,0.0,0.0,21-13-1,15-18-2,207.0,209.0,-2.0,7-3-0,L2
10,2001,Northeast,5,Buffalo Sabres,82.0,35.0,35.0,1.0,82.0,,,0.0,0.0,20-16-0,15-19-1,213.0,200.0,13.0,5-3-0,W1
11,2001,Southeast,1,Carolina Hurricanes,82.0,35.0,26.0,5.0,91.0,,,0.0,0.0,15-13-2,20-13-3,217.0,217.0,0.0,5-3-0,L1
12,2001,Southeast,2,Washington Capitals,82.0,36.0,33.0,2.0,85.0,,,0.0,0.0,21-12-2,15-21-0,228.0,240.0,-12.0,6-2-1,L1
13,2001,Southeast,3,Tampa Bay Lightning,82.0,27.0,40.0,4.0,69.0,,,0.0,0.0,16-17-3,11-23-1,178.0,219.0,-41.0,2-7-0,W1
14,2001,Southeast,4,Florida Panthers,82.0,22.0,44.0,6.0,60.0,,,0.0,0.0,11-23-4,11-21-2,180.0,250.0,-70.0,3-3-1,L2
15,2001,Southeast,5,Atlanta Thrashers,82.0,19.0,47.0,5.0,54.0,,,0.0,0.0,11-21-0,8-26-5,187.0,288.0,-101.0,1-5-1,L1
16,2001,Central,1,Detroit Red Wings,82.0,51.0,17.0,4.0,116.0,,,0.0,0.0,28-7-1,23-10-3,251.0,187.0,64.0,1-3-2,L2
17,2001,Central,2,St. Louis Blues,82.0,43.0,27.0,4.0,98.0,,,0.0,0.0,27-12-1,16-15-3,227.0,188.0,39.0,8-2-0,W4
18,2001,Central,3,Chicago Blackhawks,82.0,41.0,27.0,1.0,96.0,,,0.0,0.0,28-7-1,13-20-0,216.0,207.0,9.0,5-4-0,W1
19,2001,Central,4,Nashville Predators,82.0,28.0,41.0,0.0,69.0,,,0.0,0.0,17-16-0,11-25-0,196.0,230.0,-34.0,2-7-0,L3
20,2001,Central,5,Columbus Blue Jackets,82.0,22.0,47.0,5.0,57.0,,,0.0,0.0,14-18-4,8-29-1,164.0,255.0,-91.0,2-7-1,L1
21,2001,Northwest,1,Colorado Avalanche,82.0,45.0,28.0,1.0,99.0,,,0.0,0.0,24-12-1,21-16-0,212.0,169.0,43.0,5-4-0,L1
22,2001,Northwest,2,Vancouver Canucks,82.0,42.0,30.0,3.0,94.0,,,0.0,0.0,23-11-2,19-19-1,254.0,211.0,43.0,8-1-0,W5
23,2001,Northwest,3,Edmonton Oilers,82.0,38.0,28.0,4.0,92.0,,,0.0,0.0,23-14-0,15-14-4,205.0,182.0,23.0,6-2-1,W1
24,2001,Northwest,4,Calgary Flames,82.0,32.0,35.0,3.0,79.0,,,0.0,0.0,20-14-2,12-21-1,201.0,220.0,-19.0,5-4-0,L1
25,2001,Northwest,5,Minnesota Wild,82.0,26.0,35.0,9.0,73.0,,,0.0,0.0,14-14-5,12-21-4,195.0,238.0,-43.0,2-5-2,L2
26,2001,Pacific,1,San Jose Sharks,82.0,44.0,27.0,3.0,99.0,,,0.0,0.0,25-11-2,19-16-1,248.0,199.0,49.0,7-3-0,W1
27,2001,Pacific,2,Phoenix Coyotes,82.0,40.0,27.0,6.0,95.0,,,0.0,0.0,27-8-3,13-19-3,228.0,210.0,18.0,6-3-1,W2
28,2001,Pacific,3,Los Angeles Kings,82.0,40.0,27.0,4.0,95.0,,,0.0,0.0,22-12-1,18-15-3,214.0,190.0,24.0,4-4-0,W1
29,2001,Pacific,4,Dallas Stars,82.0,36.0,28.0,5.0,90.0,,,0.0,0.0,18-13-4,18-15-1,215.0,213.0,2.0,3-3-1,L1
30,2001,Pacific,5,Anaheim Ducks,82.0,29.0,42.0,3.0,69.0,,,0.0,0.0,15-19-2,14-23-1,175.0,198.0,-23.0,4-5-0,L2
1,2000,Atlantic,1,New Jersey Devils,82.0,48.0,19.0,3.0,111.0,,,0.0,0.0,24-11-0,24-8-3,295.0,195.0,100.0,8-2-0,W4
2,2000,Atlantic,2,Philadelphia Flyers,82.0,43.0,25.0,3.0,100.0,,,0.0,0.0,26-11-0,17-14-3,240.0,207.0,33.0,4-4-1,W2
3,2000,Atlantic,3,Pittsburgh Penguins,82.0,42.0,28.0,3.0,96.0,,,0.0,0.0,24-15-0,18-13-3,281.0,256.0,25.0,6-2-1,W1
4,2000,Atlantic,4,New York Rangers,82.0,33.0,43.0,1.0,72.0,,,0.0,0.0,17-20-1,16-23-0,250.0,290.0,-40.0,5-5-0,L1
5,2000,Atlantic,5,New York Islanders,82.0,21.0,51.0,3.0,52.0,,,0.0,0.0,12-27-1,9-24-2,185.0,268.0,-83.0,2-7-0,L3
6,2000,Northeast,1,Ottawa Senators,82.0,48.0,21.0,4.0,109.0,,,0.0,0.0,26-7-3,22-14-1,274.0,205.0,69.0,7-1-1,W2
7,2000,Northeast,2,Buffalo Sabres,82.0,46.0,30.0,1.0,98.0,,,0.0,0.0,26-12-0,20-18-1,218.0,184.0,34.0,6-4-0,L1
8,2000,Northeast,3,Toronto Maple Leafs,82.0,37.0,29.0,5.0,90.0,,,0.0,0.0,19-11-4,18-18-1,232.0,207.0,25.0,5-5-0,L1
9,2000,Northeast,4,Boston Bruins,82.0,36.0,30.0,8.0,88.0,,,0.0,0.0,21-12-3,15-18-5,227.0,249.0,-22.0,7-2-1,W1
10,2000,Northeast,5,Montreal Canadiens,82.0,28.0,40.0,6.0,70.0,,,0.0,0.0,15-20-2,13-20-4,206.0,232.0,-26.0,4-2-2,L1
11,2000,Southeast,1,Washington Capitals,82.0,41.0,27.0,4.0,96.0,,,0.0,0.0,24-9-2,17-18-2,233.0,211.0,22.0,4-4-2,W1
12,2000,Southeast,2,Carolina Hurricanes,82.0,38.0,32.0,3.0,88.0,,,0.0,0.0,23-15-0,15-17-3,212.0,225.0,-13.0,5-4-0,L1
13,2000,Southeast,3,Florida Panthers,82.0,22.0,38.0,9.0,66.0,,,0.0,0.0,12-18-4,10-20-5,200.0,246.0,-46.0,4-4-0,W1
14,2000,Southeast,4,Atlanta Thrashers,82.0,23.0,45.0,2.0,60.0,,,0.0,0.0,10-23-2,13-22-0,211.0,289.0,-78.0,3-7-0,L2
15,2000,Southeast,5,Tampa Bay Lightning,82.0,24.0,47.0,5.0,59.0,,,0.0,0.0,17-19-2,7-28-3,201.0,280.0,-79.0,2-7-1,L4
16,2000,Central,1,Detroit Red Wings,82.0,49.0,20.0,4.0,111.0,,,0.0,0.0,27-9-2,22-11-2,253.0,202.0,51.0,7-3-0,W2
17,2000,Central,2,St. Louis Blues,82.0,43.0,22.0,5.0,103.0,,,0.0,0.0,28-5-3,15-17-2,249.0,195.0,54.0,3-4-1,W2
18,2000,Central,3,Nashville Predators,82.0,34.0,36.0,3.0,80.0,,,0.0,0.0,16-18-0,18-18-3,186.0,200.0,-14.0,6-3-0,L1
19,2000,Central,4,Chicago Blackhawks,82.0,29.0,40.0,5.0,71.0,,,0.0,0.0,14-21-2,15-19-3,210.0,246.0,-36.0,0-7-2,L4
20,2000,Central,5,Columbus Blue Jackets,82.0,28.0,39.0,6.0,71.0,,,0.0,0.0,19-15-3,9-24-3,190.0,233.0,-43.0,4-5-0,W1
21,2000,Northwest,1,Colorado Avalanche,82.0,52.0,16.0,4.0,118.0,,,0.0,0.0,28-6-2,24-10-2,270.0,192.0,78.0,6-3-0,W1
22,2000,Northwest,2,Edmonton Oilers,82.0,39.0,28.0,3.0,93.0,,,0.0,0.0,23-9-2,16-19-1,243.0,222.0,21.0,4-4-0,W1
23,2000,Northwest,3,Vancouver Canucks,82.0,36.0,28.0,7.0,90.0,,,0.0,0.0,21-12-3,15-16-4,239.0,238.0,1.0,2-5-0,L1
24,2000,Northwest,4,Calgary Flames,82.0,27.0,36.0,4.0,73.0,,,0.0,0.0,12-18-2,15-18-2,197.0,236.0,-39.0,4-5-0,L2
25,2000,Northwest,5,Minnesota Wild,82.0,25.0,39.0,5.0,68.0,,,0.0,0.0,14-13-4,11-26-1,168.0,210.0,-42.0,1-6-0,L1
26,2000,Pacific,1,Dallas Stars,82.0,48.0,24.0,2.0,106.0,,,0.0,0.0,26-10-0,22-14-2,241.0,187.0,54.0,8-0-0,W2
27,2000,Pacific,2,San Jose Sharks,82.0,40.0,27.0,3.0,95.0,,,0.0,0.0,22-14-1,18-13-2,217.0,192.0,25.0,5-3-1,W1
28,2000,Pacific,3,Los Angeles Kings,82.0,38.0,28.0,3.0,92.0,,,0.0,0.0,20-12-1,18-16-2,252.0,228.0,24.0,4-1-2,W1
29,2000,Pacific,4,Phoenix Coyotes,82.0,35.0,27.0,3.0,90.0,,,0.0,0.0,21-11-2,14-16-1,214.0,212.0,2.0,4-3-1,W1
30,2000,Pacific,5,Anaheim Ducks,82.0,25.0,41.0,5.0,66.0,,,0.0,0.0,15-20-2,10-21-3,188.0,245.0,-57.0,2-5-0,L2
1,1999,Atlantic,1,New York Islanders,82.0,24.0,48.0,1.0,58.0,,,0.0,0.0,10-25-1,14-23-0,194.0,275.0,-81.0,3-6-0,W1
2,1999,Atlantic,2,New Jersey Devils,82.0,45.0,24.0,5.0,103.0,,,0.0,0.0,28-9-1,17-15-4,251.0,203.0,48.0,5-5-0,W1
3,1999,Atlantic,3,Philadelphia Flyers,82.0,45.0,22.0,3.0,105.0,,,0.0,0.0,25-6-3,20-16-0,237.0,179.0,58.0,7-2-1,W4
4,1999,Atlantic,4,New York Rangers,82.0,29.0,38.0,3.0,73.0,,,0.0,0.0,15-20-1,14-18-2,218.0,246.0,-28.0,1-8-0,L3
5,1999,Atlantic,5,Pittsburgh Penguins,82.0,37.0,31.0,6.0,88.0,,,0.0,0.0,23-11-0,14-20-6,241.0,236.0,5.0,7-3-0,L1
6,1999,Northeast,1,Buffalo Sabres,82.0,35.0,32.0,4.0,85.0,,,0.0,0.0,21-14-1,14-18-3,213.0,204.0,9.0,7-1-1,L1
7,1999,Northeast,2,Ottawa Senators,82.0,41.0,28.0,2.0,95.0,,,0.0,0.0,24-10-2,17-18-0,244.0,210.0,34.0,5-5-0,W2
8,1999,Northeast,3,Montreal Canadiens,82.0,35.0,34.0,4.0,83.0,,,0.0,0.0,18-17-1,17-17-3,196.0,194.0,2.0,4-4-1,L1
9,1999,Northeast,4,Toronto Maple Leafs,82.0,45.0,27.0,3.0,100.0,,,0.0,0.0,24-12-0,21-15-3,246.0,222.0,24.0,5-5-0,W2
10,1999,Northeast,5,Boston Bruins,82.0,24.0,33.0,6.0,73.0,,,0.0,0.0,12-17-1,12-16-5,210.0,248.0,-38.0,2-6-0,W1
11,1999,Southeast,1,Washington Capitals,82.0,44.0,24.0,2.0,102.0,,,0.0,0.0,26-5-2,18-19-0,227.0,194.0,33.0,5-3-1,L1
12,1999,Southeast,2,Tampa Bay Lightning,82.0,19.0,47.0,7.0,54.0,,,0.0,0.0,13-20-4,6-27-3,204.0,310.0,-106.0,2-7-0,L3
13,1999,Southeast,3,Carolina Hurricanes,82.0,37.0,35.0,0.0,84.0,,,0.0,0.0,20-16-0,17-19-0,217.0,216.0,1.0,7-3-0,W2
14,1999,Southeast,4,Florida Panthers,82.0,43.0,27.0,6.0,98.0,,,0.0,0.0,26-9-2,17-18-4,244.0,209.0,35.0,6-2-1,L2
15,1999,Southeast,5,Atlanta Thrashers,82.0,14.0,57.0,4.0,39.0,,,0.0,0.0,9-26-3,5-31-1,170.0,313.0,-143.0,1-9-0,L4
16,1999,Central,1,Columbus Blue Jackets,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0-0-0,0-0-0,0.0,0.0,0.0,0-0-0,-
17,1999,Central,2,Detroit Red Wings,82.0,48.0,22.0,2.0,108.0,,,0.0,0.0,28-9-1,20-13-1,278.0,210.0,68.0,5-3-0,L2
18,1999,Central,3,Chicago Blackhawks,82.0,33.0,37.0,2.0,78.0,,,0.0,0.0,16-19-1,17-18-1,242.0,245.0,-3.0,5-3-0,W3
19,1999,Central,4,St. Louis Blues,82.0,51.0,19.0,1.0,114.0,,,0.0,0.0,24-9-1,27-10-0,248.0,165.0,83.0,5-2-1,L2
20,1999,Central,5,Nashville Predators,82.0,28.0,40.0,7.0,70.0,,,0.0,0.0,15-21-2,13-19-5,199.0,240.0,-41.0,3-7-0,L3
21,1999,Northwest,1,Minnesota Wild,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0-0-0,0-0-0,0.0,0.0,0.0,0-0-0,-
22,1999,Northwest,2,Vancouver Canucks,82.0,30.0,28.0,9.0,84.0,,,0.0,0.0,16-13-7,14-15-2,227.0,237.0,-10.0,5-3-1,W1
23,1999,Northwest,3,Edmonton Oilers,82.0,32.0,26.0,8.0,88.0,,,0.0,0.0,18-11-3,14-15-5,226.0,212.0,14.0,5-5-0,W2
24,1999,Northwest,4,Colorado Avalanche,82.0,42.0,28.0,1.0,96.0,,,0.0,0.0,25-12-0,17-16-1,233.0,201.0,32.0,8-2-0,W8
25,1999,Northwest,5,Calgary Flames,82.0,31.0,36.0,5.0,77.0,,,0.0,0.0,20-14-1,11-22-4,211.0,256.0,-45.0,3-5-0,L3
26,1999,Pacific,1,Phoenix Coyotes,82.0,39.0,31.0,4.0,90.0,,,0.0,0.0,22-16-1,17-15-3,232.0,228.0,4.0,4-3-2,L1
27,1999,Pacific,2,Dallas Stars,82.0,43.0,23.0,6.0,102.0,,,0.0,0.0,21-11-4,22-12-2,211.0,184.0,27.0,4-2-2,L1
28,1999,Pacific,3,Anaheim Ducks,82.0,34.0,33.0,3.0,83.0,,,0.0,0.0,19-13-2,15-20-1,217.0,227.0,-10.0,5-4-1,L1
29,1999,Pacific,4,San Jose Sharks,82.0,35.0,30.0,7.0,87.0,,,0.0,0.0,21-14-3,14-16-4,225.0,214.0,11.0,5-4-0,L1
30,1999,Pacific,5,Los Angeles Kings,82.0,39.0,27.0,4.0,94.0,,,0.0,0.0,21-13-2,18-14-2,245.0,228.0,17.0,5-2-0,W2
1,1998,Atlantic,1,New Jersey Devils,82.0,47.0,23.0,1.0,106.0,,,0.0,0.0,19-13-1,28-10-0,248.0,196.0,52.0,8-2-0,W3
2,1998,Atlantic,2,Philadelphia Flyers,82.0,37.0,23.0,3.0,96.0,,,0.0,0.0,21-8-1,16-15-2,231.0,196.0,35.0,4-2-2,W1
3,1998,Atlantic,3,Pittsburgh Penguins,82.0,38.0,29.0,1.0,91.0,,,0.0,0.0,21-10-0,17-19-1,242.0,225.0,17.0,2-6-1,W1
4,1998,Atlantic,4,New York Rangers,82.0,33.0,35.0,3.0,80.0,,,0.0,0.0,17-17-2,16-18-1,217.0,227.0,-10.0,3-5-1,L1
5,1998,Atlantic,5,New York Islanders,82.0,24.0,42.0,6.0,64.0,,,0.0,0.0,11-19-4,13-23-2,194.0,244.0,-50.0,4-4-1,W1
