Rank,Year,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
26,2022,Pacific,2,Edmonton Oilers,82.0,50.0,23.0,9.0,109.0,45.0,50.0,0.0,4.0,23-12-6,27-11-3,325.0,260.0,65.0,9-0-1,W9
27,2022,Pacific,3,Los Angeles Kings,82.0,47.0,25.0,10.0,104.0,37.0,41.0,6.0,3.0,26-11-4,21-14-6,280.0,257.0,23.0,5-5-0,W2
28,2022,Pacific,4,Seattle Kraken,82.0,46.0,28.0,8.0,100.0,37.0,46.0,0.0,4.0,20-17-4,26-11-4,289.0,256.0,33.0,6-4-0,L2
29,2022,Pacific,5,Calgary Flames,82.0,38.0,27.0,17.0,93.0,31.0,36.0,2.0,5.0,20-16-5,18-11-12,260.0,252.0,8.0,6-2-2,W1
30,2022,Pacific,6,Vancouver Canucks,82.0,38.0,37.0,7.0,83.0,24.0,32.0,6.0,2.0,19-20-2,19-17-5,276.0,298.0,-22.0,5-3-2,W2
31,2022,Pacific,7,San Jose Sharks,82.0,22.0,44.0,16.0,60.0,16.0,21.0,1.0,6.0,8-22-11,14-22-5,234.0,321.0,-87.0,3-6-1,L6
32,2022,Pacific,8,Anaheim Ducks,82.0,23.0,47.0,12.0,58.0,13.0,20.0,3.0,3.0,12-25-4,11-22-8,209.0,338.0,-129.0,0-8-2,L13
1,2021,Atlantic,1,Florida Panthers,82.0,58.0,18.0,6.0,122.0,42.0,55.0,3.0,4.0,34-7-0,24-11-6,340.0,246.0,94.0,7-3-0,L1
2,2021,Atlantic,2,Toronto Maple Leafs,82.0,54.0,21.0,7.0,115.0,45.0,51.0,3.0,1.0,31-8-2,23-13-5,315.0,253.0,62.0,7-2-1,W3
3,2021,Atlantic,3,Tampa Bay Lightning,82.0,51.0,23.0,8.0,110.0,39.0,49.0,2.0,5.0,27-8-6,24-15-2,287.0,233.0,54.0,7-3-0,W1
4,2021,Atlantic,4,Boston Bruins,82.0,51.0,26.0,5.0,107.0,40.0,49.0,2.0,2.0,26-13-2,25-13-3,254.0,220.0,34.0,6-4-0,L1
5,2021,Atlantic,5,Buffalo Sabres,82.0,32.0,39.0,11.0,75.0,25.0,29.0,3.0,3.0,17-18-6,15-21-5,232.0,290.0,-58.0,6-4-0,W1
6,2021,Atlantic,6,Detroit Red Wings,82.0,32.0,40.0,10.0,74.0,21.0,29.0,3.0,2.0,18-16-7,14-24-3,230.0,312.0,-82.0,4-6-0,W1
7,2021,Atlantic,7,Ottawa Senators,82.0,33.0,42.0,7.0,73.0,26.0,30.0,3.0,2.0,15-22-4,18-20-3,227.0,266.0,-39.0,7-2-1,W1
8,2021,Atlantic,8,Montreal Canadiens,82.0,22.0,49.0,11.0,55.0,16.0,19.0,3.0,2.0,11-26-4,11-23-7,221.0,319.0,-98.0,2-8-0,W2
9,2021,Metropolitan,1,Carolina Hurricanes,82.0,54.0,20.0,8.0,116.0,47.0,53.0,1.0,2.0,29-8-4,25-12-4,278.0,202.0,76.0,8-2-0,W6
10,2021,Metropolitan,2,New York Rangers,82.0,52.0,24.0,6.0,110.0,44.0,48.0,4.0,3.0,27-10-4,25-14-2,254.0,207.0,47.0,6-4-0,W1
11,2021,Metropolitan,3,Pittsburgh Penguins,82.0,46.0,25.0,11.0,103.0,37.0,43.0,3.0,7.0,23-13-5,23-12-6,272.0,229.0,43.0,5-4-1,W1
12,2021,Metropolitan,4,Washington Capitals,82.0,44.0,26.0,12.0,100.0,35.0,39.0,5.0,3.0,19-16-6,25-10-6,275.0,245.0,30.0,4-4-2,L4
13,2021,Metropolitan,5,New York Islanders,82.0,37.0,35.0,10.0,84.0,34.0,35.0,2.0,6.0,20-16-5,17-19-5,231.0,237.0,-6.0,3-6-1,L1
14,2021,Metropolitan,6,Columbus Blue Jackets,82.0,37.0,38.0,7.0,81.0,26.0,33.0,4.0,3.0,21-15-5,16-23-2,262.0,299.0,-37.0,4-5-1,L1
15,2021,Metropolitan,7,New Jersey Devils,82.0,27.0,46.0,9.0,63.0,19.0,24.0,3.0,5.0,16-20-5,11-26-4,248.0,307.0,-59.0,2-5-3,L6
16,2021,Metropolitan,8,Philadelphia Flyers,82.0,25.0,46.0,11.0,61.0,20.0,24.0,1.0,4.0,14-21-6,11-25-5,211.0,298.0,-87.0,2-8-0,L3
17,2021,Central,1,Colorado Avalanche,82.0,56.0,19.0,7.0,119.0,46.0,52.0,4.0,2.0,32-5-4,24-14-3,312.0,234.0,78.0,4-5-1,L2
18,2021,Central,2,Minnesota Wild,82.0,53.0,22.0,7.0,113.0,37.0,48.0,5.0,4.0,31-8-2,22-14-5,310.0,253.0,57.0,8-1-1,W2
19,2021,Central,3,St. Louis Blues,82.0,49.0,22.0,11.0,109.0,43.0,47.0,2.0,3.0,26-10-5,23-12-6,311.0,242.0,69.0,7-2-1,L2
20,2021,Central,4,Dallas Stars,82.0,46.0,30.0,6.0,98.0,31.0,41.0,5.0,2.0,27-10-4,19-20-2,238.0,246.0,-8.0,5-3-2,W1
