Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Justise Winslow,PF,29,26.8,6.8,2.8,6.8,40.9,0.5,1.6,31.1,0.7,1.0,71.4,5.0,3.4,1.0,0.4,1.5,1,0
Jusuf Nurkic,C,52,26.8,13.3,5.0,9.7,51.9,0.8,2.3,36.1,2.4,3.7,66.1,9.1,2.9,0.8,0.8,2.3,18,0
Kai Jones,PF,46,12.0,3.4,1.5,2.6,55.8,0.1,0.4,21.1,0.4,0.6,73.1,2.7,0.3,0.4,0.7,0.7,1,0
Karl-Anthony Towns,C,29,33.0,20.8,7.3,14.8,49.5,2.1,5.7,36.6,4.1,4.7,87.4,8.1,4.8,0.7,0.6,3.0,9,0
Kawhi Leonard,F,52,33.6,23.8,8.6,16.8,51.2,2.0,4.8,41.6,4.7,5.4,87.1,6.5,3.9,1.4,0.5,1.7,4,0
Keegan Murray,F,80,29.8,12.2,4.4,9.8,45.3,2.6,6.3,41.1,0.8,1.0,76.5,4.6,1.2,0.8,0.5,0.8,4,0
Keita Bates-Diop,SF,67,21.7,9.7,3.5,6.9,50.8,0.8,2.1,39.4,1.8,2.2,79.3,3.7,1.5,0.7,0.3,0.8,0,0
Keldon Johnson,F,63,32.7,22.0,8.0,17.7,45.2,2.1,6.5,32.9,3.9,5.2,74.9,5.0,2.9,0.7,0.2,2.1,5,0
Kelly Olynyk,F,68,28.6,12.5,4.1,8.2,49.9,1.4,3.5,39.4,2.9,3.4,85.3,6.2,3.7,0.9,0.5,2.5,9,0
Kelly Oubre Jr.,G,48,32.3,20.3,7.4,17.1,43.1,2.3,7.1,31.9,3.3,4.3,76.0,5.2,1.1,1.4,0.4,1.3,3,0
Kemba Walker,PG,9,16.0,8.0,2.7,6.3,42.1,0.8,3.1,25.0,1.9,2.3,81.0,1.8,2.1,0.2,0.2,0.4,0,0
Kendall Brown,G,6,6.7,1.5,0.7,1.2,57.1,0.0,0.2,0.0,0.2,0.3,50.0,1.0,0.5,0.7,0.0,0.3,0,0
Kendrick Nunn,G,70,13.8,7.1,2.7,6.4,42.4,1.1,3.2,35.4,0.5,0.6,85.4,1.6,1.3,0.4,0.1,0.9,0,0
Kennedy Chandler,G,36,7.8,2.2,1.0,2.3,42.2,0.1,0.4,13.3,0.2,0.4,46.2,1.1,1.6,0.3,0.1,0.5,0,0
Kenneth Lofton Jr.,F,24,7.3,5.0,2.0,3.9,52.7,0.3,0.7,35.3,0.7,1.1,59.3,2.1,0.8,0.2,0.1,0.5,1,0
Kenrich Williams,G,53,22.8,8.0,3.4,6.5,51.7,0.9,2.5,37.3,0.3,0.7,43.6,4.9,2.0,0.8,0.3,0.6,2,0
Kentavious Caldwell-Pope,G,76,31.3,10.8,3.8,8.3,46.2,1.8,4.2,42.3,1.4,1.6,82.4,2.7,2.4,1.5,0.5,1.1,0,0
Keon Ellis,G,16,4.4,1.5,0.4,1.0,43.8,0.4,0.8,50.0,0.3,0.4,57.1,0.5,0.4,0.3,0.1,0.1,0,0
Keon Johnson,G,40,10.4,4.7,1.7,4.5,37.6,0.7,2.0,34.6,0.7,1.0,65.9,1.1,1.5,0.5,0.2,1.1,0,0
Kessler Edwards,F,36,10.7,2.8,1.0,2.6,38.7,0.5,1.5,30.9,0.3,0.4,73.3,1.7,0.6,0.4,0.2,0.4,0,0
Kevin Durant,F,47,35.6,29.1,10.3,18.3,56.0,2.0,4.9,40.4,6.5,7.1,91.9,6.7,5.0,0.7,1.4,3.3,5,1
Kevin Huerter,G,75,29.4,15.2,5.6,11.5,48.5,2.7,6.8,40.2,1.3,1.7,72.5,3.3,2.9,1.1,0.3,1.3,0,0
Kevin Knox II,F,63,15.1,6.6,2.4,5.3,45.8,1.0,3.0,34.9,0.7,1.0,76.7,2.8,0.5,0.4,0.2,0.8,2,0
Kevin Love,F,62,20.0,8.2,2.7,6.8,38.9,1.6,4.8,33.4,1.3,1.5,87.9,6.4,1.9,0.3,0.2,1.1,6,0
Kevin Porter Jr.,G,59,34.3,19.2,6.6,15.0,44.2,2.4,6.5,36.6,3.5,4.5,78.4,5.3,5.7,1.4,0.3,3.2,9,1
Kevon Harris,G,34,13.4,4.1,1.4,3.1,43.9,0.5,1.3,37.2,0.9,1.2,75.6,2.1,0.5,0.5,0.1,0.6,0,0
Kevon Looney,F,82,23.9,7.0,3.0,4.7,63.0,0.0,0.0,0.0,1.1,1.9,60.6,9.3,2.5,0.6,0.6,0.5,14,0
Khem Birch,C,20,8.1,2.2,1.0,1.6,59.4,0.1,0.1,50.0,0.2,0.3,80.0,1.3,0.4,0.3,0.3,0.4,0,0
Khris Middleton,F,33,24.3,15.1,5.4,12.3,43.6,1.5,4.9,31.5,2.8,3.1,90.2,4.2,4.9,0.7,0.2,2.2,4,0
Killian Hayes,G,76,28.3,10.3,4.0,10.7,37.7,1.1,3.8,28.0,1.2,1.5,82.1,2.9,6.2,1.4,0.4,2.3,6,0
Kira Lewis Jr.,G,25,9.4,4.6,1.6,3.5,45.5,0.6,1.4,44.1,0.8,0.9,86.4,1.3,0.9,0.4,0.1,0.4,0,0
KJ Martin,F,82,28.0,12.7,5.0,8.8,56.9,0.8,2.6,31.5,1.8,2.7,68.0,5.5,1.5,0.5,0.4,1.1,5,0
Klay Thompson,G,69,33.0,21.9,7.9,18.1,43.6,4.4,10.6,41.2,1.7,1.9,87.9,4.1,2.4,0.7,0.4,1.8,2,0
Kobi Simmons,G,5,5.6,1.0,0.2,1.2,16.7,0.2,1.0,20.0,0.4,0.4,100.0,0.8,1.0,0.0,0.4,0.2,0,0
Kris Dunn,G,22,25.8,13.2,5.3,9.8,53.7,0.8,1.6,47.2,1.9,2.4,77.4,4.5,5.6,1.1,0.5,1.6,3,0
Kristaps Porzingis,C,65,32.6,23.2,7.8,15.7,49.8,2.1,5.5,38.5,5.4,6.4,85.1,8.4,2.7,0.9,1.5,2.1,20,0
Kyle Anderson,F,69,28.4,9.4,3.7,7.2,50.9,0.6,1.5,41.0,1.4,2.0,73.5,5.3,4.9,1.1,0.9,1.5,10,3
Kyle Kuzma,F,64,35.0,21.2,8.0,17.8,44.8,2.5,7.5,33.3,2.7,3.7,73.0,7.2,3.7,0.6,0.5,3.0,14,1
Kyle Lowry,G,55,31.2,11.2,3.6,8.8,40.4,1.9,5.6,34.5,2.1,2.5,85.9,4.1,5.1,1.0,0.4,1.9,2,1
Kyrie Irving,G,60,37.4,27.1,9.9,20.1,49.4,3.1,8.3,37.9,4.1,4.6,90.5,5.1,5.5,1.1,0.8,2.1,5,0
KZ Okpala,SF,35,7.1,1.3,0.5,1.1,42.1,0.2,0.6,33.3,0.2,0.2,87.5,1.0,0.4,0.2,0.2,0.2,0,0
Lamar Stevens,F,62,18.1,5.3,2.1,4.6,44.8,0.5,1.5,31.6,0.6,0.9,70.2,3.3,0.5,0.4,0.3,0.4,1,0
LaMelo Ball,G,36,35.2,23.3,8.2,20.0,41.1,4.0,10.6,37.6,2.8,3.4,84.3,6.4,8.4,1.3,0.3,3.6,17,3
Landry Shamet,G,40,20.2,8.7,2.8,7.5,37.7,1.9,5.0,37.7,1.1,1.3,88.2,1.7,2.3,0.7,0.1,0.9,0,0
Larry Nance Jr.,F,65,21.2,6.8,2.9,4.7,61.0,0.2,0.6,33.3,0.8,1.2,69.6,5.4,1.8,0.9,0.6,0.6,3,0
Lauri Markkanen,F,66,34.4,25.6,8.7,17.3,49.9,3.0,7.7,39.2,5.3,6.0,87.5,8.6,1.9,0.6,0.6,1.9,28,0
Leandro Bolmaro,F,14,4.9,0.4,0.2,1.4,15.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.1,0.5,0,0
LeBron James,F,55,35.5,28.9,11.1,22.2,50.0,2.2,6.9,32.1,4.6,5.9,76.8,8.3,6.8,0.9,0.6,3.2,18,2
Lester Quinones,G,4,4.5,2.5,0.5,1.3,40.0,0.5,1.0,50.0,1.0,1.5,66.7,0.8,0.5,0.3,0.0,1.3,0,0
Lindell Wigginton,G,7,12.4,7.1,2.6,5.3,48.6,0.9,2.6,33.3,1.1,1.3,88.9,1.0,2.0,0.0,0.3,1.7,1,0
Lindy Waters III,F,41,13.0,5.2,1.7,4.3,39.3,1.4,4.0,35.8,0.4,0.5,80.0,1.8,0.7,0.3,0.3,0.2,0,0
Lonnie Walker IV,G,56,23.2,11.7,4.2,9.4,44.8,1.6,4.4,36.5,1.6,1.9,85.8,1.9,1.1,0.5,0.3,0.8,0,0
Louis King,SF,1,29.0,20.0,8.0,13.0,61.5,4.0,8.0,50.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,2.0,0,0
Luguentz Dort,G,74,30.7,13.7,4.6,11.8,38.8,1.8,5.5,33.0,2.7,3.5,77.2,4.6,2.1,1.0,0.3,1.2,5,0
Luka Doncic,G,66,36.2,32.4,10.9,22.0,49.6,2.8,8.2,34.2,7.8,10.5,74.2,8.6,8.0,1.4,0.5,3.6,36,10
Luka Garza,C,28,8.7,6.5,2.3,4.1,54.3,0.5,1.4,35.9,1.5,1.9,78.8,2.3,0.6,0.1,0.1,0.5,0,0
Luka Samanic,F,7,23.0,9.9,3.7,8.1,45.6,1.1,4.4,25.8,1.3,1.9,69.2,4.3,2.1,0.9,0.3,1.4,0,0
Luke Kennard,G,59,22.3,9.3,3.2,6.5,49.2,2.3,4.6,49.4,0.6,0.7,94.9,2.7,1.5,0.5,0.1,0.8,0,0
Luke Kornet,C,69,11.7,3.8,1.6,2.5,66.5,0.0,0.2,23.1,0.5,0.6,82.1,2.9,0.8,0.2,0.7,0.4,0,0
Mac McClung,G,2,20.5,12.5,4.5,10.0,45.0,2.0,5.5,36.4,1.5,2.5,60.0,5.0,4.5,0.0,0.0,1.5,0,0
Malachi Flynn,PG,53,13.0,4.6,1.6,4.6,36.0,0.9,2.5,35.3,0.5,0.6,75.8,1.4,1.3,0.4,0.1,0.5,0,0
Malaki Branham,G,66,23.5,10.2,4.1,9.3,44.0,1.2,3.9,30.2,0.9,1.1,82.9,2.7,1.9,0.5,0.1,1.2,0,0
Malcolm Brogdon,G,67,26.0,14.9,5.3,10.9,48.4,2.0,4.4,44.4,2.4,2.7,87.0,4.2,3.7,0.7,0.3,1.5,0,0
Malcolm Hill,G,5,1.8,1.0,0.4,0.8,50.0,0.2,0.6,33.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0
Malik Beasley,SG,81,25.8,12.7,4.6,11.6,39.5,2.9,8.1,35.7,0.6,0.8,76.9,3.5,1.5,0.8,0.1,1.1,1,0
Malik Monk,G,77,22.3,13.5,4.6,10.3,44.8,1.9,5.2,35.9,2.4,2.7,88.9,2.6,3.9,0.6,0.3,1.9,0,0
Mamadi Diakite,F,22,8.0,2.6,1.1,2.3,48.0,0.3,1.0,33.3,0.1,0.1,100.0,1.4,0.4,0.2,0.4,0.5,0,0
Marcus Morris Sr.,F,65,28.1,11.2,4.2,9.9,42.6,1.7,4.7,36.5,1.0,1.3,78.2,4.0,1.8,0.6,0.3,0.9,2,0
Marcus Smart,G,61,32.1,11.5,4.1,9.9,41.5,1.9,5.6,33.6,1.4,1.9,74.6,3.1,6.3,1.5,0.4,2.3,6,0
MarJon Beauchamp,F,52,13.5,5.1,1.8,4.7,39.5,0.9,2.7,33.1,0.5,0.7,73.0,2.2,0.7,0.4,0.1,0.9,0,0
Mark Williams,C,43,19.3,9.0,3.7,5.8,63.7,0.0,0.0,0.0,1.6,2.3,69.1,7.1,0.4,0.7,1.0,0.9,11,0
Markelle Fultz,G,60,29.6,14.0,5.8,11.3,51.4,0.5,1.5,31.0,1.9,2.4,78.3,3.9,5.7,1.5,0.4,2.3,3,0
