Rank,Year,Season,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
16,2022,2022-2023,Atlantic Division,6,Lehigh Valley Phantoms,72,37,29,3,3,80,0.556,27,33,221,226,-5,6-4-0-0,0-3-0-0,947,0
17,2022,2022-2023,North Division,4,Utica Comets,72,35,27,6,4,80,0.556,26,33,215,222,-7,4-4-0-2,2-0-0-0,773,0
18,2022,2022-2023,Central Division,4,Iowa Wild,72,34,27,6,5,79,0.549,24,30,211,211,0,5-3-1-1,1-0-1-0,948,0
19,2022,2022-2023,Central Division,5,Rockford IceHogs,72,35,28,5,4,79,0.549,20,29,214,232,-18,5-5-0-0,1-0-0-0,935,0
20,2022,2022-2023,Pacific Division,5,Bakersfield Condors,72,37,31,2,2,78,0.542,34,37,212,212,0,7-3-0-0,3-0-0-0,983,0
21,2022,2022-2023,Central Division,6,Chicago Wolves,72,35,29,5,3,78,0.542,29,34,227,245,-18,8-1-1-0,3-0-0-0,811,0
22,2022,2022-2023,North Division,5,Laval Rocket,72,33,29,7,3,76,0.528,27,32,258,247,11,8-2-0-0,4-0-0-0,940,0
23,2022,2022-2023,Atlantic Division,7,Bridgeport Islanders,72,34,30,7,1,76,0.528,26,32,238,248,-10,5-5-0-0,0-1-0-0,983,0
24,2022,2022-2023,Pacific Division,6,Ontario Reign,72,34,32,5,1,74,0.514,25,30,206,211,-5,3-6-1-0,0-3-0-0,794,0
25,2022,2022-2023,North Division,6,Cleveland Monsters,72,33,32,5,2,73,0.507,22,28,220,254,-34,5-5-0-0,0-1-0-0,846,0
26,2022,2022-2023,North Division,7,Belleville Senators,72,31,31,6,4,72,0.5,23,27,233,258,-25,4-3-0-3,0-1-0-0,1186,0
27,2022,2022-2023,Pacific Division,7,Tucson Roadrunners,72,30,33,8,1,69,0.479,25,27,219,245,-26,3-4-2-1,0-4-2-1,1271,0
28,2022,2022-2023,Pacific Division,8,San Jose Barracuda,72,31,34,2,5,69,0.479,23,28,205,249,-44,5-3-1-1,2-0-0-0,1216,0
29,2022,2022-2023,Atlantic Division,8,Barre/Scranton Penguins,72,26,32,8,6,66,0.458,17,21,191,224,-33,1-6-2-1,0-2-1-0,860,0
30,2022,2022-2023,Central Division,7,Grand Rapids Griffins,72,28,36,4,4,64,0.444,19,25,194,255,-61,2-7-0-1,0-4-0-0,736,0
31,2022,2022-2023,Pacific Division,9,Henderson Silver Knights,72,29,38,0,5,63,0.438,23,26,201,221,-20,6-4-0-0,2-0-0-0,930,0
32,2022,2022-2023,Pacific Division,10,San Diego Gulls,72,20,49,2,1,43,0.299,15,19,180,281,-101,1-8-1-0,0-5-0-0,1109,0
1,2021,2021-2022,Central Division,1,Chicago Wolves,76,50,16,5,5,110,0.724,43,49,261,194,67,7-3-0-0,3-0-0-0,891,0
2,2021,2021-2022,Pacific Division,1,Stockton Heat,68,45,16,5,2,97,0.713,33,39,242,185,57,4-4-1-1,0-1-0-0,910,0
3,2021,2021-2022,Pacific Division,2,Ontario Reign,68,41,18,5,4,91,0.669,32,39,259,219,40,5-3-1-1,0-3-0-0,892,0
4,2021,2021-2022,North Division,1,Utica Comets,72,43,20,8,1,95,0.66,35,41,246,206,40,4-4-2-0,1-0-0-0,812,0
5,2021,2021-2022,Atlantic Division,2,Charlotte Checkers,72,42,24,5,1,90,0.625,36,38,234,197,37,7-1-1-1,2-0-0-1,862,0
6,2021,2021-2022,Pacific Division,3,Colorado Eagles,68,39,22,4,3,85,0.625,31,34,244,207,37,7-3-0-0,2-0-0-0,815,0
7,2021,2021-2022,Atlantic Division,1,Springfield Thunderbirds,76,43,24,6,3,95,0.625,31,39,233,221,12,6-2-1-1,4-0-0-0,864,0
8,2021,2021-2022,Central Division,2,Manitoba Moose,72,41,24,5,2,89,0.618,30,35,228,204,24,5-4-1-0,2-0-0-0,847,0
9,2021,2021-2022,Pacific Division,4,Bakersfield Condors,68,37,21,5,5,84,0.618,32,37,225,192,33,7-3-0-0,1-0-0-0,843,0
10,2021,2021-2022,Pacific Division,5,Abbotsford Canucks,68,39,23,5,1,84,0.618,30,37,230,200,30,8-2-0-0,0-2-0-0,941,0
11,2021,2021-2022,North Division,2,Syracuse Crunch,76,41,26,7,2,91,0.599,32,40,242,229,13,8-2-0-0,0-1-0-0,880,0
12,2021,2021-2022,North Division,3,Laval Rocket,72,39,26,5,2,85,0.59,31,37,246,231,15,5-3-2-0,2-0-1-0,871,0
13,2021,2021-2022,North Division,4,Belleville Senators,72,40,28,4,0,84,0.583,30,35,219,218,1,7-3-0-0,2-0-0-0,902,0
14,2021,2021-2022,Atlantic Division,3,Providence Bruins,72,36,25,5,6,83,0.576,27,32,199,192,7,4-5-1-0,0-5-1-0,898,0
15,2021,2021-2022,Central Division,3,Milwaukee Admirals,76,39,28,5,4,87,0.572,29,36,229,228,1,6-3-1-0,1-0-0-0,1023,0
16,2021,2021-2022,North Division,5,Rochester Americans,76,37,29,7,3,84,0.553,27,34,254,270,-16,5-3-2-0,1-0-0-0,942,0
17,2021,2021-2022,Pacific Division,6,Henderson Silver Knights,68,35,28,4,1,75,0.551,26,31,209,203,6,8-1-1-0,8-0-1-0,966,0
18,2021,2021-2022,Central Division,4,Rockford IceHogs,72,37,30,4,1,79,0.549,28,30,223,221,2,5-5-0-0,0-2-0-0,939,0
19,2021,2021-2022,North Division,6,Toronto Marlies,72,37,30,4,1,79,0.549,25,34,243,244,-1,4-5-1-0,0-1-1-0,924,0
20,2021,2021-2022,Central Division,5,Texas Stars,72,32,28,6,6,76,0.528,26,30,219,230,-11,5-4-0-1,4-0-0-0,897,0
21,2021,2021-2022,Atlantic Division,4,Wilkes-Barre/Scranton Penguins,76,35,33,4,4,78,0.513,26,34,209,225,-16,4-6-0-0,0-4-0-0,862,0
22,2021,2021-2022,Atlantic Division,5,Hershey Bears,76,34,32,6,4,78,0.513,23,33,202,209,-7,3-6-1-0,0-2-0-0,911,0
23,2021,2021-2022,Atlantic Division,6,Bridgeport Islanders,72,31,30,7,4,73,0.507,24,29,213,226,-13,4-5-1-0,0-1-0-0,816,0
24,2021,2021-2022,Central Division,7,Iowa Wild,72,32,31,4,5,73,0.507,23,30,202,209,-7,5-4-0-1,0-1-0-0,1085,0
25,2021,2021-2022,Atlantic Division,8,Hartford Wolf Pack,72,32,32,6,2,72,0.5,23,26,205,225,-20,3-6-1-0,2-0-0-0,749,0
