Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Joakim Kemell,RW,2,0,0,0,0,0,10:20,0,0,8,0.0,25,0,0,0,0.0,0,0,0.0
Tristan Luneau,D,6,0,0,0,-5,2,16:33,0,0,6,0.0,116,0,0,0,0.0,0,0,0.0
Michael Milne,LW,1,0,0,0,0,0,6:34,0,0,0,0.0,8,0,0,0,0.0,0,0,0.0
Jacob Gaucher,C,4,0,0,0,0,0,7:20,0,0,3,0.0,45,0,10,5,66.7,0,0,0.0
Maxwell Crozier,D,5,0,0,0,0,0,16:41,0,0,9,0.0,101,0,0,0,0.0,0,0,0.0
Matt Stienburg,C,8,0,0,0,0,22,6:05,0,0,4,0.0,79,0,0,0,0.0,0,0,0.0
Samuel Honzek,LW,5,0,0,0,-1,2,12:23,0,0,6,0.0,83,0,0,1,0.0,0,0,0.0
Nikolas Matinpalo,D,22,0,0,0,-1,12,11:58,0,0,28,0.0,418,0,0,0,0.0,0,0,0.0
Nikita Grebenkin,RW,7,0,0,0,-3,2,8:44,0,0,2,0.0,90,0,1,0,100.0,0,0,0.0
Jett Luchanko,C,4,0,0,0,-3,2,14:03,0,0,3,0.0,76,0,17,20,45.9,0,0,0.0
Jere Innala,LW,15,0,0,0,-3,2,6:55,0,0,4,0.0,143,0,1,2,33.3,0,0,0.0
Nikita Prishchepov,C,10,0,0,0,0,0,6:22,0,0,4,0.0,89,0,0,0,0.0,0,0,0.0
