Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Shane Doan,PHX,R,76,23,42,65,3,73,1165.0921,13,11,0,1,6,233,0.09871,10,41,0.4393,2010-2011
Shane Hnidy,BOS,D,6,0,0,0,-2,9,538.0,0,0,0,0,0,3,0.0,0,0,nan,2010-2011
Shane O'Brien,NSH,D,92,2,7,9,-1,101,1024.4456,0,0,0,0,0,56,0.03571,2,9,nan,2010-2011
Shane Sims,NYI,D,1,0,0,0,0,0,394.0,0,0,0,0,0,0,nan,0,0,nan,2010-2011
Shaone Morrisonn,BUF,D,63,1,4,5,-2,34,967.746,0,0,0,1,1,44,0.02272,1,5,nan,2010-2011
Shawn Belle,"EDM,COL",D,9,0,0,0,-1,2,1028.7777,0,0,0,0,0,8,0.0,0,0,nan,2010-2011
Shawn Horcoff,EDM,C,47,9,18,27,-1,46,1121.1276,5,5,0,0,1,78,0.11538,4,16,0.48339,2010-2011
Shawn Matthias,FLA,L,51,6,10,16,0,16,710.4313,0,2,0,0,0,90,0.06666,6,14,0.5081,2010-2011
Shawn Thornton,BOS,L,97,10,11,21,7,146,570.1237,0,0,0,0,2,171,0.05847,10,21,0.57894,2010-2011
Shea Weber,NSH,D,94,19,34,53,10,64,1539.5212,8,12,1,1,3,292,0.06506,10,32,nan,2010-2011
Sheldon Brookbank,ANA,D,44,0,0,0,-10,77,806.4318,0,0,0,0,0,31,0.0,0,0,nan,2010-2011
Sidney Crosby,PIT,C,41,32,34,66,20,31,1315.0487,10,9,1,0,3,161,0.19875,21,46,0.55657,2010-2011
Simon Gagne,TBL,L,78,22,30,52,-6,24,1001.5641,7,11,0,1,4,175,0.12571,15,34,0.45,2010-2011
Spencer Machacek,ATL,R,10,0,0,0,-2,0,460.8,0,0,0,0,0,7,0.0,0,0,nan,2010-2011
Stefan Della Rovere,STL,L,7,0,0,0,0,11,365.2857,0,0,0,0,0,4,0.0,0,0,0.75,2010-2011
Stefan Meyer,CGY,L,16,0,2,2,0,17,465.0625,0,0,0,0,0,12,0.0,0,2,0.41176,2010-2011
Stephane Da Costa,OTT,C,4,0,0,0,-1,0,684.75,0,0,0,0,0,9,0.0,0,0,0.28571,2010-2011
Stephane Robidas,DAL,D,81,5,25,30,-7,67,1471.9629,1,14,0,1,1,106,0.04716,4,13,nan,2010-2011
Stephen Gionta,NJD,C,12,0,0,0,-3,6,540.3333,0,0,0,0,0,13,0.0,0,0,nan,2010-2011
Steve Begin,NSH,L,2,0,0,0,-2,4,588.5,0,0,0,0,0,2,0.0,0,0,nan,2010-2011
